ID,Title,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Runtime
295,The Highwaymen,6.9,1,0,0,0,Biography,132
296,Legend,6.9,1,0,0,0,Biography,132
297,Boy & the World,7.6,1,0,0,0,Animation,80
298,Creep 2,6.4,1,0,0,0,Horror,78
299,Terminator 3: Rise of the Machines,6.3,1,0,0,0,Action,109
300,Unrest,7.7,1,0,0,0,Horror,88
301,Guru,7.7,1,0,0,0,Biography,166
302,Louis C.K. 2017,7.6,1,0,0,0,Comedy,74
303,A Twelve-Year Night,7.6,1,0,0,0,Biography,122
304,Happy as Lazzaro,7.6,1,0,0,0,Drama,128
305,"What Happened, Miss Simone?",7.6,1,0,0,0,Documentary,101
306,Blue Jay,7.3,1,0,1,0,Drama,80
307,1922,6.3,1,0,0,0,Crime,102
308,Hancock,6.4,1,0,0,0,Action,92
309,Circus of Books,7.1,1,0,0,0,Documentary,92
310,"Hail, Caesar!",6.3,1,0,0,0,Comedy,106
311,The Pixar Story,7.8,1,0,0,0,Documentary,88
312,Child's Play,6.6,1,0,1,0,Horror,90
313,Springsteen On Broadway,8.5,1,0,0,0,Documentary,153
314,The Angry Birds Movie 2,6.4,1,0,0,0,Animation,97
315,Obvious Child,6.8,1,0,0,0,Comedy,84
316,Awe!,7.8,1,0,0,0,Thriller,150
317,American Honey,7,1,0,0,0,Drama,163
318,Last Breath,7.7,1,0,0,0,Documentary,90
319,Udta Punjab,7.8,1,0,0,0,Action,148
320,Den of Thieves,7,1,0,0,0,Action,140
321,Wadjda,7.5,1,0,0,0,Comedy,98
322,The Spiderwick Chronicles,6.5,1,0,0,0,Action,96
323,The Christmas Chronicles,7.1,1,0,1,0,Adventure,104
324,Turbo,6.4,1,0,0,0,Animation,96
325,My Girl,6.9,1,0,0,0,Comedy,102
326,22-Jul,6.8,1,0,0,0,Crime,143
327,Adam Sandler: 100% Fresh,7.6,1,0,0,0,Comedy,73
328,Remember,7.5,1,0,1,0,Drama,94
329,Triple Frontier,6.4,1,0,0,0,Action,125
330,Bombshell: The Hedy Lamarr Story,7.4,1,0,0,0,Documentary,88
331,Paddleton,7.2,1,0,0,0,Comedy,89
332,Bad Boys II,6.6,1,0,0,0,Action,147
333,Sour Grapes,7.3,1,0,0,0,Comedy,91
334,Betting on Zero,7.2,1,0,0,0,Documentary,99
335,Delhi Belly,7.5,1,0,0,0,Action,103
336,Being Elmo: A Puppeteer's Journey,7.6,1,0,0,0,Documentary,80
337,Williams,7.6,1,0,0,0,Documentary,109
338,It Comes at Night,6.2,1,0,0,0,Horror,91
339,Cuba and the Cameraman,8.2,1,0,0,0,Documentary,113
340,Creep,6.3,1,0,0,0,Horror,77
341,The Interview,6.5,1,1,1,0,Action,112
342,Bobby Robson: More Than a Manager,8.2,1,0,0,0,Documentary,104
343,Outbreak,6.6,1,0,0,0,Action,127
344,Black Snake Moan,6.9,1,0,1,0,Drama,116
345,Bright,6.3,1,0,0,0,Action,117
346,Cargo,6.3,1,0,1,0,Drama,105
347,Even the Rain,7.4,1,0,0,0,Drama,103
348,Candyman,6.6,1,0,0,0,Horror,99
349,Mary and the Witch's Flower,6.8,1,0,0,0,Animation,103
350,Calibre,6.7,1,0,0,0,Drama,101
351,First They Killed My Father,7.2,1,0,0,0,Biography,136
352,Us and Them,7.3,1,0,0,0,Drama,120
353,Up in Smoke,7,1,0,0,0,Comedy,86
354,Final Destination,6.7,1,0,0,0,Horror,98
355,Kill the Messenger,6.9,1,0,0,0,Biography,112
356,Operation Odessa,7.8,1,0,0,0,Documentary,95
357,The American Meme,7.3,1,0,0,0,Documentary,98
358,Outlaw King,6.9,1,0,0,0,Action,121
359,21,6.8,1,0,0,0,Crime,123
360,Holding the Man,7.4,1,0,0,0,Biography,127
361,Krisha,7.2,1,0,0,0,Drama,83
362,De Palma,7.4,1,0,0,0,Documentary,110
363,Dear Ex,7.4,1,0,0,0,Comedy,100
364,Tomorrow Never Dies,6.5,1,0,0,0,Action,119
365,Veronica,6.2,1,0,0,0,Comedy,94
366,The Cakemaker,7.2,1,0,0,0,Drama,113
367,Instructions Not Included,7.5,1,0,0,0,Comedy,115
368,Bleed for This,6.8,1,0,0,0,Biography,117
369,Girl,7.2,1,0,1,0,Drama,105
370,The Naked Gun 2½: The Smell of Fear,6.9,1,0,0,0,Comedy,85
371,Bareilly's Barfi,7.5,1,0,0,0,Comedy,116
372,The Sky Is Pink,7.5,1,0,0,0,Drama,143
373,Chitty Chitty Bang Bang,6.9,1,0,0,0,Adventure,144
374,A Wednesday!,8.1,1,0,0,0,Crime,104
375,Jodhaa Akbar,7.6,1,0,0,0,Action,213
376,Handsome Devil,7.1,1,0,0,0,Comedy,95
377,"Love, Rosie",7.2,1,0,1,0,Comedy,102
378,Oceans,7.8,1,0,0,0,Documentary,104
379,The Ritual,6.3,1,0,0,0,Horror,94
380,Super Dark Times,6.6,1,0,0,0,Crime,103
381,Tallulah,6.7,1,0,0,0,Comedy,111
382,Other People,6.8,1,0,0,0,Comedy,97
383,Alpha Dog,6.9,1,0,0,0,Biography,122
384,Spectral,6.3,1,0,0,0,Action,107
385,The Babysitter,6.3,1,0,1,0,Comedy,85
386,"Extremely Wicked, Shockingly Evil and Vile",6.6,1,0,0,0,Biography,110
387,Heneral Luna,7.6,1,0,0,0,Action,118
388,Click,6.4,1,0,0,0,Comedy,107
389,The Duchess,6.9,1,0,1,0,Biography,110
390,The Last Man on the Moon,7.4,1,0,0,0,Documentary,95
391,The 24 Hour War,7.2,1,0,0,0,Documentary,99
392,Mune: Guardian of the Moon,7.2,1,0,0,0,Animation,85
393,The Devil We Know,7.7,1,0,0,0,Documentary,95
394,How the Grinch Stole Christmas,6.2,1,0,0,0,Comedy,104
395,LA Originals,7.3,1,0,0,0,Documentary,92
396,Whisky,7.1,1,0,1,0,Comedy,99
397,The Sapphires,7,1,0,0,0,Biography,103
398,Bloodsport,6.8,1,0,0,0,Action,92
399,Tinker Bell and the Legend of the NeverBeast,7.3,1,0,0,0,Animation,76
400,Get Me Roger Stone,7.4,1,0,0,0,Documentary,92
401,Alex Strangelove,6.3,1,0,0,0,Comedy,99
402,She's Out of My League,6.4,1,0,1,0,Comedy,104
403,Sarah's Key,7.5,1,0,0,0,Drama,111
404,My Happy Family,7.4,1,0,0,0,Drama,120
405,Killing Them Softly,6.2,1,0,0,0,Crime,97
406,Ittefaq,7.2,1,0,1,0,Mystery,105
407,6 Underground,6.1,1,0,0,0,Action,128
408,The Accountant of Auschwitz,7.3,1,0,0,0,Documentary,78
409,Echo in the Canyon,7,1,0,0,0,Documentary,82
410,Hold the Dark,5.6,1,0,0,0,Drama,125
411,Suffragette,6.9,1,0,0,0,Drama,106
412,The Siege of Jadotville,7.2,1,0,0,0,Action,108
413,Terminator Salvation,6.5,1,0,0,0,Action,115
414,Hotel Transylvania 3: Summer Vacation,6.3,1,0,0,0,Animation,97
415,Filmworker,7.4,1,0,0,0,Documentary,94
416,Our Souls at Night,6.9,1,0,0,0,Drama,103
417,Mine 9,6.7,1,0,0,0,Drama,83
418,Everybody Knows,6.9,1,0,0,0,Crime,133
419,Retribution,6.6,1,0,1,0,Drama,60
420,Ice Guardians,7.5,1,0,0,0,Documentary,108
421,Tinker Bell and the Pirate Fairy,6.6,1,0,0,0,Animation,78
422,The World Is Not Enough,6.4,1,0,0,0,Action,128
423,Suite Française,7,1,0,0,0,Drama,107
424,Period. End of Sentence.,7.4,1,0,0,0,Documentary,26
425,Beyond the Mat,7.6,1,0,0,0,Documentary,102
426,Next Gen,6.6,1,0,0,0,Animation,106
427,Cam,5.9,1,0,0,0,Horror,94
428,Divines,7.4,1,0,0,0,Crime,105
429,Shirkers,7.4,1,0,0,0,Documentary,97
430,Underworld: Evolution,6.7,1,0,0,0,Action,106
431,Om Shanti Om,6.7,1,0,0,0,Action,162
432,How to Change the World,7.6,1,0,0,0,Documentary,110
433,Spitfire,7.5,1,0,0,0,Drama,87
434,You Are My Sunday,7.7,1,0,0,0,Comedy,119
435,Dear Zindagi,7.6,1,0,0,0,Drama,151
436,Uncorked,6.1,1,0,0,0,Drama,104
437,The Water Diviner,7,1,0,0,0,Drama,111
438,Gaga: Five Foot Two,7,1,0,0,0,Documentary,100
439,Austin Powers in Goldmember,6.2,1,0,0,0,Action,94
440,He Never Died,6.4,1,0,0,0,Comedy,99
441,Black Sea,6.4,1,0,0,0,Adventure,114
442,Ali's Wedding,6.9,1,0,0,0,Comedy,110
443,Event Horizon,6.7,1,0,0,0,Horror,96
444,Mississippi Grind,6.4,1,0,0,0,Comedy,108
445,They'll Love Me When I'm Dead,7.4,1,0,0,0,Documentary,98
446,Kai Po Che!,7.6,1,0,0,0,Drama,120
447,Badla,7.9,1,0,0,0,Crime,118
448,Young Adult,6.2,1,0,1,0,Comedy,94
449,ZZ Top: That Little Ol' Band From Texas,7.4,1,0,0,0,Documentary,91
450,Scary Movie,6.2,1,0,0,0,Horror,111
451,The Dirt,7,1,0,0,0,Biography,107
452,Killer Klowns from Outer Space,6.2,1,0,0,0,Comedy,88
453,The Exception,6.8,1,0,0,0,Drama,107
454,Spenser Confidential,6.2,1,0,0,0,Action,111
455,Wheelman,6.4,1,0,0,0,Action,82
456,While We're Young,6.3,1,0,0,0,Comedy,97
457,Die Another Day,6.1,1,0,0,0,Action,133
458,The Grandmaster,6.6,1,0,0,0,Action,130
459,Bathtubs Over Broadway,7.5,1,0,0,0,Documentary,87
460,Cadillac Records,7,1,0,0,0,Biography,109
461,I am Divine,7.6,1,0,0,0,Documentary,90
462,King Jack,7,1,0,0,0,Adventure,81
463,The Runaways,6.5,1,0,0,0,Biography,106
464,2012,5.8,1,0,0,0,Action,158
465,The Half of It,7,1,0,0,0,Comedy,104
466,Tigertail,6.4,1,0,0,0,Drama,91
467,Sleeping with Other People,6.5,1,0,0,0,Comedy,101
468,What Lies Beneath,6.6,1,0,0,0,Drama,130
469,Fractured,6.4,1,0,0,0,Mystery,99
470,Master Z: Ip Man Legacy,6.5,1,0,0,0,Action,107
471,Neruda,6.9,1,0,0,0,Biography,107
472,One Day,7,1,0,1,0,Drama,107
473,Just Friends,6.2,1,0,0,0,Comedy,96
474,Aśoka,6.5,1,0,0,0,Comedy,30
475,Harold and Lillian: A Hollywood Love Story,8,1,0,0,0,Documentary,94
476,The Grinch,6.3,1,0,0,0,Comedy,104
477,Qarib Qarib Singlle,7,1,0,0,0,Comedy,125
